Country,Population 2024
India,1441719852
China,1425178782
United States,341814420
Indonesia,279798049
Pakistan,245209815
Nigeria,229152217
Brazil,217637297
Bangladesh,174701211
Russia,143957079
Ethiopia,129719719
Mexico,129388467
Japan,122631432
Philippines,119106224
Egypt,114484252
DR Congo,105625114
Vietnam,99497680
Iran,89809781
Turkey,86260417
Germany,83252474
Thailand,71885799
Tanzania,69419073
United Kingdom,67961439
France,64881830
South Africa,61020221
Italy,58697744
Kenya,56203030
Myanmar,54964694
Colombia,52340774
South Korea,51741963
Uganda,49924252
Sudan,49358228
Spain,47473373
Iraq,46523657
Algeria,46278751
Argentina,46057866
Afghanistan,43372950
Poland,40221726
Canada,39107046
Morocco,38211459
Ukraine,37937821
Angola,37804634
Saudi Arabia,37473929
Uzbekistan,35673804
Yemen,35219853
Mozambique,34858402
Ghana,34777522
Peru,34683444
Malaysia,34671895
Nepal,31240315
Madagascar,31056610
Ivory Coast,29603302
Venezuela,29395334
Cameroon,29394433
Niger,28238972
Australia,26699482
North Korea,26244582
Syria,24348053
Mali,24015789
Taiwan,23950214
Burkina Faso,23840247
Sri Lanka,21949268
Malawi,21475962
Zambia,21134695
Kazakhstan,19828165
Chile,19658839
Romania,19618996
Chad,18847148
Somalia,18706922
Ecuador,18377367
Guatemala,18358430
Senegal,18221567
Netherlands,17671125
Cambodia,17121847
Zimbabwe,17020321
Guinea,14528770
Rwanda,14414910
Benin,14080072
Burundi,13591657
Bolivia,12567336
Tunisia,12564689
Haiti,11867030
Belgium,11715774
Dominican Republic,11434005
Jordan,11384922
South Sudan,11277092
Cuba,11174587
Honduras,10759406
Sweden,10673669
Papua New Guinea,10515788
Czech Republic,10503734
Azerbaijan,10462904
Tajikistan,10331513
Greece,10302720
Portugal,10223349
Hungary,9994993
United Arab Emirates,9591853
Belarus,9455037
Israel,9311652
Togo,9260864
Sierra Leone,8977972
Austria,8977139
Switzerland,8851431
Laos,7736681
Hong Kong,7496681
Nicaragua,7142529
Serbia,7097028
Libya,6964197
Paraguay,6947270
Kyrgyzstan,6839606
Bulgaria,6618615
Turkmenistan,6598071
El Salvador,6396289
Republic of the Congo,6244547
Singapore,6052709
Denmark,5939695
Central African Republic,5915627
Slovakia,5702832
Finland,5549886
Liberia,5536949
Norway,5514477
Palestine,5494963
New Zealand,5269939
Costa Rica,5246714
Lebanon,5219044
Ireland,5089478
Mauritania,4993922
Oman,4713553
Panama,4527961
Kuwait,4349380
Croatia,3986627
Eritrea,3817651
Georgia,3717425
Mongolia,3493629
Uruguay,3423316
Moldova,3329865
Puerto Rico,3268802
Bosnia and Herzegovina,3194378
Gambia,2841803
Albania,2826020
Jamaica,2824738
Armenia,2777979
Qatar,2737061
Botswana,2719694
Lithuania,2692798
Namibia,2645805
Gabon,2484557
Lesotho,2356083
Guinea Bissau,2197149
Slovenia,2118965
North Macedonia,2082706
Latvia,1810240
Equatorial Guinea,1754993
Trinidad and Tobago,1538200
Bahrain,1498712
Timor Leste,1379883
Estonia,1319041
Mauritius,1301978
Cyprus,1268467
Eswatini,1222075
Djibouti,1152329
Reunion,989350
Fiji,943072
Comoros,867605
Guyana,819594
Bhutan,792382
Solomon Islands,756673
Macau,713082
Luxembourg,661594
Suriname,628785
Montenegro,626102
Cape Verde,604461
Western Sahara,598385
Malta,536740
Maldives,517887
Brunei,455858
Belize,416656
Bahamas,415223
Guadeloupe,396346
Iceland,377689
Martinique,366416
Mayotte,345996
Vanuatu,342325
French Guiana,319796
French Polynesia,311383
New Caledonia,295966
Barbados,282309
Sao Tome and Principe,236381
Samoa,228966
Curacao,192965
Saint Lucia,180805
Guam,174114
Kiribati,135763
Grenada,126887
Micronesia,116300
Jersey,112843
Tonga,108683
Seychelles,108263
Aruba,106177
Saint Vincent and the Grenadines,103683
United States Virgin Islands,98055
Antigua and Barbuda,94816
Isle of Man,84904
Andorra,80341
Dominica,73368
Cayman Islands,69885
Bermuda,63935
Guernsey,63788
Greenland,56789
Faroe Islands,53444
Northern Mariana Islands,50025
Saint Kitts and Nevis,47847
Turks and Caicos Islands,46431
Sint Maarten,44309
American Samoa,43544
Marshall Islands,42415
Liechtenstein,39822
Monaco,36157
San Marino,33614
Gibraltar,32718
Saint Martin,32337
British Virgin Islands,31763
Palau,18051
Cook Islands,17072
Anguilla,15936
Nauru,12884
Tuvalu,11478
Wallis and Futuna,11439
Saint Barthelemy,11019
Saint Pierre and Miquelon,5815
Montserrat,4372
Falkland Islands,3803
Niue,1935
Tokelau,1915
Vatican City,526
